name,numberOfProducts,vendor
ACME,73,ACME
Atlantis Beverage,7,Moo Corp.
Carboload,5,Penguin Incorporated
Classified Cosmetics,4,MegaCorp
Clout Drinks,7,Brawndo
Cover Up,6,Monsanto
Dairy Things,7,Moo Corp.
Dairy Time,6,Penguin Incorporated
Deli Emporium,5,MegaCorp
Doctor Bird's,6,ACME
Dole,19,Brawndo
Elmer Inc,17,Monsanto
Freezy Freeze,4,Moo Corp.
Fresh Stuff,15,Penguin Incorporated
Fries Frozen Foods,5,MegaCorp
Grain Train,5,ACME
Marty's Meds,7,Brawndo
Meat and Stuff,19,Monsanto
Munchie Mash,5,Moo Corp.
Scootie's Cleaning,5,Penguin Incorporated
Snack Me Up,5,MegaCorp
Squeaky Clean,6,ACME
