id,address,homeState,openTime,closeTime
1,812 4th Parkway,MA,317,1824
2,41374 Milwaukee Center,VA,359,1620
3,7 Sunnyside Center,MN,533,1649
4,1 CO Pass,CA,208,2132
5,1 Buhler Road,FL,532,1807
6,217 Carey Circle,NV,242,1842
7,574 Gateway Circle,NY,342,2027
8,06627 Lake View Drive,NC,556,1934
9,133 Orin Alley,CA,242,1903
10,912 Mockingbird Court,CA,217,1942
11,646 Riverside Lane,DC,1207,2058
12,03 Homewood Crossing,NC,457,1722
13,8 Melody Circle,MD,256,2035
14,34 Magdeline Trail,NY,1222,1609
15,89085 Basil Center,WA,308,2033
16,3 Farragut Terrace,CA,525,1857
17,4454 2nd Road,KY,324,1715
18,58052 Gerald Plaza,AZ,133,2154
19,22 Sunnyside Hill,CA,1206,1611
20,2 Warbler Road,MO,234,2006
21,00182 Eagle Crest Avenue,HI,552,2052
22,39320 Londonderry Park,CA,241,1957
23,15 AZ Terrace,NE,145,1904
24,324 Meadow Valley Park,MI,246,2343
25,3411 Elgar Hill,MN,202,2236
26,7 Truax Hill,AZ,213,2146
27,0481 Eggendart Circle,AL,438,1638
28,283 Mifflin Junction,CA,139,2051
29,844 Annark Trail,WV,502,2003
30,074 Jackson Terrace,FL,206,1843
31,65321 Rusk Alley,TX,459,1602
32,8 Eastlawn Trail,NY,420,1626
33,067 Anhalt Road,CA,1236,1954
34,8580 Pleasure Road,CA,248,2150
35,61457 Lakeland Hill,OK,523,2112
36,4 Memorial Avenue,GA,518,2325
37,78836 Bultman Circle,MD,255,1820
38,926 Sunbrook Lane,FL,454,2013
39,3258 Welch Lane,MA,237,1856
40,23579 Kinsman Court,KY,400,1726
41,5 Hollow Ridge Trail,NY,210,1808
42,9509 Kinsman Pass,MA,243,2155
43,6872 Leroy Crossing,FL,106,2049
44,136 Lakeland Trail,MI,1220,2008
45,1298 Kim Park,TX,329,1948
46,56648 Golf Course Hill,FL,452,2007
47,221 Coleman Road,KY,1204,2009
48,79 Graceland Alley,CA,312,1913
49,00 Dottie Alley,IA,442,2315
50,9745 Harper Street,CA,136,1919
51,0948 Harper Junction,NY,436,2327
52,5581 Schurz Terrace,KY,451,1838
53,273 Granby Avenue,DC,502,1829
54,1 Sachtjen Terrace,MN,1252,1931
55,428 Walton Way,TX,440,2055
56,9 Sunfield Place,CO,1233,2122
57,0 Hazelcrest Park,VA,1208,1831
58,983 Orin Trail,TX,248,1808
59,43 Rigney Alley,TN,515,2219
60,79792 Oriole Point,TX,1226,1629
61,5 Messerschmidt Terrace,CA,431,1901
62,755 Lyons Point,NY,448,1952
63,8652 Pine View Circle,NE,307,1820
64,04 Hazelcrest Point,IN,403,2303
65,580 Lakeland Junction,CA,1240,2321
66,15235 Forest Run Alley,NE,246,2131
67,62 Florence Pass,NC,249,2020
68,33 Jay Court,VA,328,2111
69,368 Melvin Court,DC,1250,2058
70,04 Stuart Hill,NJ,302,2226
71,3 Village Green Way,TX,128,1731
72,6 Bultman Circle,TN,153,1600
73,05683 Fuller Park,MO,116,2240
74,38 Hansons Circle,OH,210,2137
75,29 Portage Alley,MI,108,2118
76,9168 Tomscot Lane,CA,330,1717
77,0 Transport Circle,FL,300,2150
78,4 Kings Drive,CA,249,2208
79,9906 Meadow Valley Drive,GA,1207,1944
80,03220 Mandrake Avenue,PA,540,2149
81,9756 Kropf Trail,NY,523,1624
82,893 NV Pass,AZ,335,1920
83,390 Harper Pass,TX,157,2157
