storeid,productid,numInStock
1,488529033803,149
1,457459442332,89
1,388403878360,76
1,709229053555,135
1,411067277447,118
1,199968033019,120
1,189470486214,144
1,578147508823,53
1,509762284879,84
1,516495915668,143
1,863129185304,99
1,765572003296,80
1,529831629045,121
1,692492393712,129
1,252522255166,103
1,314482481265,133
1,979700065093,105
1,168074802141,120
1,887528437482,83
1,702421087613,117
1,290827207620,130
1,250617599940,118
1,297083512852,148
1,203262278452,97
1,173672457176,74
1,814141265887,138
1,246144606961,64
1,272121204465,92
1,547244118460,115
1,902956788286,85
1,982079076090,133
1,174237001203,135
1,409542246104,83
1,339589987290,65
1,490997846898,106
1,836900805029,108
1,483738463713,111
1,381299535788,141
1,649921994715,101
1,383476286895,74
1,453357640486,127
1,849681336901,106
1,508818965558,64
1,654563447110,91
1,646511826677,63
1,398900612810,139
1,721857506010,103
1,294993047536,66
1,482429892907,120
1,418604295928,86
1,118389501460,128
1,67014520356,68
1,400930079611,144
1,904647940449,58
1,547685258313,74
1,284083366181,124
1,643925479319,139
1,923237099384,96
1,536851950801,64
1,525199185853,93
1,187272692439,68
1,999543417737,53
1,265444172694,109
1,349330324726,67
1,527453991710,116
1,566877828296,76
1,673737891943,62
1,108326062706,96
1,603333456348,104
1,636021875565,101
1,227635917829,52
1,419446364450,107
1,194144382996,120
1,838962966418,67
1,389169531271,135
1,180531962334,146
1,839518983686,113
1,871701186034,128
1,875125493289,112
1,312237459250,110
1,514254550616,111
2,750886611187,62
2,272121204465,71
2,696368469198,147
2,568658660566,120
2,698718941817,119
2,529831629045,51
2,210526151030,77
2,771137437634,111
2,923237099384,131
2,252522255166,97
2,547244118460,120
2,246144606961,138
2,444797600349,61
2,419446364450,150
2,833663232208,87
2,754664511022,116
2,948543507361,104
2,654563447110,72
2,509762284879,78
2,608852371253,63
2,679453075525,77
2,882152991390,94
2,600770885624,53
2,769357296879,94
2,334074319971,148
2,457459442332,138
2,67014520356,59
2,869112308003,57
2,375276903331,112
2,576518370019,146
2,450659382698,137
2,702830548447,134
2,127026679653,66
2,379942304309,58
2,979700065093,132
2,893005812666,120
2,994411186239,83
2,189470486214,148
2,554521191996,104
2,558886167633,81
2,642234808130,138
2,134390993040,64
2,862174790606,131
2,702421087613,133
2,430946284790,147
2,383476286895,118
2,776538360607,55
2,945312847530,114
2,945012228482,147
2,274761600136,144
2,132954606361,96
2,578705048123,71
2,261188186216,118
2,749625390019,118
2,300475101700,60
2,863129185304,80
2,322758894316,70
2,836900805029,118
2,227635917829,54
2,556388862616,102
2,508818965558,67
2,118389501460,52
2,952550789390,112
2,925173129386,150
2,770565227675,101
2,525199185853,105
2,297083512852,140
2,925484684473,136
2,140903716305,137
2,849681336901,73
2,578147508823,123
2,312237459250,120
2,547685258313,72
2,132186536765,96
2,919197823026,66
2,904647940449,109
2,839518983686,111
2,877194198700,110
2,669515708071,74
2,103362565865,94
2,418604295928,130
2,199753522658,99
2,384179652400,149
2,514254550616,125
2,603333456348,116
2,453357640486,137
2,996103067914,136
2,721857506010,76
2,467986934495,87
2,380734371410,62
2,618570550236,105
2,400930079611,118
2,411067277447,77
2,660310920540,70
2,389169531271,132
2,349435998924,61
2,425456990082,114
2,144568875894,97
2,649921994715,52
2,126834215166,138
3,706236730898,54
3,194144382996,75
3,261188186216,146
3,482340522139,57
3,234646454745,114
3,904647940449,65
3,312237459250,91
3,534109743798,91
3,741544174664,65
3,146051347589,112
3,482429892907,88
3,486804801433,63
3,816260222588,64
3,902956788286,68
3,516286957430,74
3,349435998924,61
3,388403878360,105
3,749193678427,102
3,771137437634,81
3,127026679653,142
3,518329844939,117
3,129753980851,106
3,118389501460,55
3,618570550236,130
3,643925479319,52
3,859109096191,70
3,483738463713,71
3,986202008726,107
3,754664511022,137
3,167742802915,56
3,139669412174,56
3,203262278452,78
3,554521191996,133
3,721857506010,86
3,572878568883,50
3,290827207620,146
3,871701186034,140
3,509762284879,146
3,495776106616,121
3,159425007904,112
3,578705048123,140
3,770565227675,137
3,205930062465,51
3,172950643766,138
3,660310920540,149
3,377848719039,66
3,547244118460,71
3,709229053555,121
3,863129185304,130
3,174237001203,127
3,861348595761,62
3,418604295928,112
3,180531962334,125
3,252522255166,117
3,330700905340,90
3,199753522658,127
3,925173129386,127
3,364745567029,108
3,986065693858,75
3,923237099384,67
3,603333456348,141
3,669515708071,101
3,409542246104,68
3,873640709962,67
3,108649313374,94
3,563144943925,109
3,208174494479,73
3,633320411611,83
3,899657914264,67
3,525199185853,58
3,297083512852,105
3,300475101700,102
3,716818652888,142
3,999543417737,96
3,567657950596,51
3,536851950801,78
3,916984241291,88
3,805966823208,50
3,749625390019,135
3,152614854189,69
3,654563447110,133
3,384468659793,72
3,600770885624,76
3,590034051433,113
3,702830548447,145
3,430946284790,70
3,838962966418,141
3,383476286895,88
3,132954606361,82
3,126834215166,119
3,776538360607,82
3,814141265887,93
3,994411186239,124
3,630929030795,135
3,529831629045,102
3,246144606961,62
3,527453991710,99
3,775611741635,59
3,176404904473,133
3,444797600349,67
3,945312847530,82
3,294993047536,97
3,384179652400,140
3,317663070530,100
3,557899454410,73
3,511511692317,67
3,274761600136,116
3,207178796787,62
4,633320411611,81
4,944472664850,112
4,529831629045,79
4,525199185853,109
4,286243122717,99
4,642234808130,122
4,453357640486,93
4,172950643766,145
4,654563447110,81
4,146051347589,118
4,414652410482,78
4,180531962334,123
4,769357296879,102
4,569219762080,107
4,741544174664,114
4,349330324726,65
4,126834215166,86
4,199968033019,56
4,261188186216,51
4,379942304309,61
4,952550789390,125
4,308440276732,50
4,290827207620,74
4,398900612810,61
4,207178796787,114
4,154554749200,145
4,495776106616,123
4,134390993040,73
4,375276903331,120
4,732970729968,138
4,308792010934,53
4,709229053555,106
4,600770885624,50
4,409542246104,112
4,894482053097,73
4,999543417737,88
4,933914210509,55
4,572878568883,52
4,252522255166,61
4,488529033803,73
4,754664511022,118
4,702830548447,51
4,660310920540,113
4,400127531270,77
4,578705048123,76
4,144568875894,50
4,669515708071,93
4,948543507361,61
4,877194198700,101
4,646511826677,149
